# M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     (x=-1)    (x=1.35)    (x=3)
 1.0193399  3.7841  0.8735  3.6611  2.697 -0.190  0.437  0.295  0.608  1.033  1.348  1.404  1.454  1.823  9.3170E-01  3.8811E-01  1.8493E-01
 1.0197865  3.7798  0.8753  3.6423  2.701 -0.194  0.447  0.303  0.624  1.062  1.386  1.443  1.497  1.877  8.9350E-01  3.7181E-01  1.7703E-01
 1.0202334  3.7756  0.8763  3.6247  2.706 -0.195  0.458  0.311  0.640  1.085  1.417  1.476  1.532  1.922  8.8390E-01  3.6743E-01  1.7482E-01
 1.0206704  3.7713  0.8766  3.6074  2.711 -0.196  0.469  0.319  0.657  1.105  1.443  1.504  1.563  1.961  8.8840E-01  3.6893E-01  1.7541E-01
 1.0211218  3.7670  0.8768  3.5902  2.715 -0.196  0.481  0.328  0.674  1.123  1.468  1.530  1.591  1.997  9.1400E-01  3.7917E-01  1.8015E-01
 1.0215844  3.7628  0.8773  3.5731  2.719 -0.194  0.494  0.336  0.691  1.142  1.493  1.556  1.620  2.034  9.4190E-01  3.9032E-01  1.8531E-01
 1.0220637  3.7585  0.8789  3.5545  2.721 -0.189  0.508  0.345  0.708  1.164  1.523  1.588  1.655  2.079  1.0248E+00  4.2420E-01  2.0123E-01
 1.0226092  3.7542  0.8831  3.5333  2.718 -0.180  0.524  0.354  0.726  1.190  1.558  1.626  1.696  2.132  1.1426E+00  4.7237E-01  2.2389E-01
 1.0232063  3.7501  0.8913  3.5090  2.704 -0.166  0.540  0.363  0.743  1.217  1.594  1.667  1.738  2.189  1.2632E+00  5.2151E-01  2.4694E-01
 1.0238724  3.7461  0.9057  3.4789  2.675 -0.148  0.557  0.371  0.759  1.244  1.631  1.708  1.782  2.245  1.4038E+00  5.7867E-01  2.7371E-01
 1.0246101  3.7424  0.9276  3.4425  2.627 -0.131  0.572  0.379  0.772  1.269  1.665  1.745  1.821  2.296  1.4972E+00  6.1614E-01  2.9109E-01
 1.0253696  3.7393  0.9563  3.4017  2.560 -0.117  0.586  0.384  0.782  1.289  1.692  1.775  1.853  2.336  1.5209E+00  6.2481E-01  2.9483E-01
 1.0261310  3.7368  0.9905  3.3578  2.478 -0.105  0.597  0.388  0.789  1.305  1.713  1.798  1.877  2.368  1.4814E+00  6.0754E-01  2.8633E-01
 1.0268510  3.7347  1.0269  3.3133  2.390 -0.095  0.607  0.391  0.795  1.318  1.731  1.817  1.898  2.394  1.4096E+00  5.7714E-01  2.7169E-01
 1.0275406  3.7329  1.0653  3.2680  2.296 -0.085  0.616  0.394  0.799  1.329  1.746  1.833  1.915  2.416  1.3400E+00  5.4778E-01  2.5758E-01
 1.0281910  3.7312  1.1041  3.2227  2.202 -0.075  0.624  0.396  0.803  1.340  1.760  1.848  1.932  2.437  1.2915E+00  5.2716E-01  2.4763E-01
 1.0288321  3.7297  1.1436  3.1775  2.105 -0.067  0.632  0.398  0.807  1.350  1.773  1.862  1.946  2.455  1.2060E+00  4.9156E-01  2.3067E-01
 1.0293970  3.7282  1.1835  3.1318  2.007 -0.058  0.639  0.400  0.810  1.359  1.786  1.875  1.961  2.473  1.1208E+00  4.5622E-01  2.1389E-01
 1.0299529  3.7269  1.2239  3.0864  1.908 -0.050  0.645  0.402  0.814  1.367  1.797  1.887  1.973  2.489  1.0864E+00  4.4167E-01  2.0688E-01
 1.0304834  3.7255  1.2641  3.0409  1.810 -0.042  0.651  0.404  0.817  1.376  1.809  1.899  1.986  2.505  1.0337E+00  4.1973E-01  1.9644E-01
 1.0309866  3.7242  1.3043  2.9957  1.712 -0.034  0.657  0.406  0.821  1.384  1.820  1.911  1.998  2.521  9.6120E-01  3.8985E-01  1.8231E-01
 1.0314446  3.7227  1.3443  2.9499  1.614 -0.026  0.664  0.409  0.825  1.393  1.833  1.925  2.012  2.538  8.8430E-01  3.5828E-01  1.6743E-01
 1.0318709  3.7213  1.3845  2.9042  1.517 -0.017  0.670  0.411  0.829  1.402  1.844  1.937  2.025  2.554  8.2570E-01  3.3422E-01  1.5607E-01
 1.0322703  3.7199  1.4247  2.8586  1.419 -0.009  0.676  0.414  0.834  1.411  1.856  1.950  2.038  2.570  7.7250E-01  3.1240E-01  1.4579E-01
 1.0326434  3.7185  1.4650  2.8129  1.321 -0.002  0.681  0.417  0.839  1.419  1.868  1.963  2.050  2.585  9.3050E-01  3.7593E-01  1.7532E-01
 1.0332008  3.7160  1.5313  2.7368  1.162  0.012  0.691  0.423  0.850  1.435  1.890  1.986  2.072  2.613  1.0533E+00  4.2506E-01  1.9808E-01
 1.0336967  3.7134  1.5975  2.6604  1.004  0.026  0.700  0.429  0.862  1.452  1.913  2.011  2.095  2.642  9.2750E-01  3.7387E-01  1.7409E-01
 1.0341283  3.7109  1.6638  2.5843  0.846  0.039  0.709  0.436  0.875  1.468  1.936  2.034  2.117  2.669  8.1350E-01  3.2760E-01  1.5243E-01
 1.0345102  3.7080  1.7290  2.5077  0.693  0.055  0.719  0.445  0.890  1.486  1.962  2.061  2.141  2.700  7.1770E-01  2.8877E-01  1.3428E-01
 1.0348460  3.7051  1.7940  2.4312  0.540  0.071  0.730  0.453  0.905  1.505  1.987  2.088  2.166  2.731  6.3510E-01  2.5534E-01  1.1867E-01
 1.0351453  3.7021  1.8586  2.3547  0.387  0.089  0.742  0.461  0.919  1.523  2.012  2.114  2.191  2.762  5.6980E-01  2.2893E-01  1.0635E-01
 1.0354158  3.6991  1.9231  2.2783  0.234  0.109  0.755  0.469  0.932  1.540  2.036  2.140  2.216  2.792  5.3000E-01  2.1280E-01  9.8813E-02
 1.0356753  3.6960  1.9869  2.2022  0.082  0.132  0.770  0.476  0.944  1.557  2.060  2.164  2.241  2.821  4.8490E-01  1.9458E-01  9.0316E-02
 1.0359007  3.6928  2.0504  2.1260 -0.070  0.159  0.788  0.482  0.955  1.574  2.082  2.188  2.266  2.849  5.0650E-01  2.0314E-01  9.4249E-02
 1.0361818  3.6896  2.1140  2.0498 -0.222  0.189  0.807  0.489  0.965  1.590  2.104  2.211  2.291  2.876  6.7230E-01  2.6945E-01  1.2496E-01
 1.0365730  3.6871  2.1676  1.9863 -0.351  0.215  0.823  0.493  0.973  1.602  2.121  2.229  2.310  2.897  5.6110E-01  2.2473E-01  1.0417E-01
